[craftsman-10] 2026/02/16 20:12:10 Agent: Harrison 'Handiwork' Hay | Empire: outerrim | Credits: 29963.00 | Ship: Deeprock Harvester | Cargo: 171/400
[craftsman-1] 2026/02/16 20:11:21 Agent: Arthur 'Artificer' Artis | Empire: nebula | Credits: 102988.00 | Ship: Deeprock Harvester | Cargo: 197/400
[craftsman-2] 2026/02/16 20:11:22 Agent: Samuel 'Smith' Sterling | Empire: nebula | Credits: 18537.00 | Ship: Deeprock Harvester | Cargo: 241/400
[craftsman-3] 2026/02/16 20:11:22 Agent: Artisan 'Ace' Anderson | Empire: solarian | Credits: 6125.00 | Ship: Drillship | Cargo: 92/100
[craftsman-4] 2026/02/16 20:11:23 Agent: Bentley 'Blueprint' Burk | Empire: solarian | Credits: 74780.00 | Ship: Deeprock Harvester | Cargo: 94/400
[craftsman-5] 2026/02/16 20:11:24 Agent: Chisel 'Craftsman' Cole | Empire: voidborn | Credits: 8814.00 | Ship: Drillship | Cargo: 40/100
[craftsman-6] 2026/02/16 20:12:06 Agent: Dexter 'Design' Davis | Empire: voidborn | Credits: 9628.00 | Ship: Excavator | Cargo: 98/150
[craftsman-7] 2026/02/16 20:12:07 Agent: Emerson 'Erect' Edwards | Empire: crimson | Credits: 123170.00 | Ship: Drillship | Cargo: 91/100
[craftsman-8] 2026/02/16 20:12:07 Agent: Fabian 'Forge' Fowler | Empire: crimson | Credits: 134456.00 | Ship: Deeprock Harvester | Cargo: 312/400
[craftsman-9] 2026/02/16 20:12:08 Agent: Garrison 'Gear' Grant | Empire: outerrim | Credits: 35656.00 | Ship: Deeprock Harvester | Cargo: 40/400
[engineer-10] 2026/02/16 20:12:02 Agent: Kinetic 'Kernel' King | Empire: outerrim | Credits: 208.00 | Ship: Excavator | Cargo: 24/150
[engineer-1] 2026/02/16 20:12:03 Agent: Gavin 'GearHead' Garriso | Empire: nebula | Credits: 10628.00 | Ship: Drillship | Cargo: 81/100
[engineer-2] 2026/02/16 20:12:03 Agent: Silas 'Sparky' Sparks | Empire: nebula | Credits: 4172.00 | Ship: Drillship | Cargo: 30/100
[engineer-3] 2026/02/16 20:12:03 Agent: Circuit 'Current' Carter | Empire: solarian | Credits: 37404.00 | Ship: Deeprock Harvester | Cargo: 179/400
[engineer-4] 2026/02/16 20:11:56 Agent: Dynamo 'Drive' Davis | Empire: solarian | Credits: 11092.00 | Ship: Excavator | Cargo: 150/150
[engineer-5] 2026/02/16 20:11:56 Agent: Fission 'Fuse' Fletcher | Empire: voidborn | Credits: 216578.00 | Ship: Deeprock Harvester | Cargo: 30/400
[engineer-6] 2026/02/16 20:11:59 Agent: Generator 'Grid' Graham | Empire: voidborn | Credits: 8105.00 | Ship: Drillship | Cargo: 40/100
[engineer-7] 2026/02/16 20:12:02 Agent: Hydraulic 'Hose' Hayes | Empire: crimson | Credits: 12264.00 | Ship: Drillship | Cargo: 30/100
[engineer-8] 2026/02/16 20:12:01 Agent: Ignition 'Spark' Stevens | Empire: crimson | Credits: 59089.00 | Ship: Excavator | Cargo: 150/150
[engineer-9] 2026/02/16 20:12:02 Agent: Junction 'Joint' Jackson | Empire: outerrim | Credits: 23173.00 | Ship: Excavator | Cargo: 58/150
[explorer-10] 2026/02/16 20:13:01 Agent: Scout 'Space' Sullivan | Empire: nebula | Credits: 56645.00 | Ship: Deeprock Harvester | Cargo: 291/400
[explorer-1] 2026/02/16 20:12:12 Agent: Atlas 'Astro' Anderson | Empire: solarian | Credits: 48182.00 | Ship: Deeprock Harvester | Cargo: 116/400
[explorer-2] 2026/02/16 20:12:13 Agent: Cosmo 'Cosmic' Chandler | Empire: solarian | Credits: 28569.00 | Ship: Excavator | Cargo: 60/150
[explorer-3] 2026/02/16 20:12:13 Agent: Orion 'Nebula' North | Empire: voidborn | Credits: 119285.00 | Ship: Excavator | Cargo: 62/150
[explorer-4] 2026/02/16 20:12:14 Agent: Stella 'Starlight' Sterl | Empire: voidborn | Credits: 47825.00 | Ship: Drillship | Cargo: 61/100
[explorer-5] 2026/02/16 20:12:14 Agent: Nova 'Navigator' Nash | Empire: crimson | Credits: 208670.00 | Ship: Deeprock Harvester | Cargo: 20/400
