agent_id      current_username          proposed_username     personality_name
------------------------------------------------------------------------------------------------
craftsman-1   Arthur 'Artificer' Artis  Arthur Artisan        Arthur 'Artificer' Artisan
craftsman-10  Harrison 'Handiwork' Hay  Harrison Hayes        Harrison 'Handiwork' Hayes
craftsman-2   Samuel 'Smith' Sterling   Samuel Sterling       Samuel 'Smith' Sterling
craftsman-3   Artisan 'Ace' Anderson    Artisan Anderson      Artisan 'Ace' Anderson
craftsman-4   Bentley 'Blueprint' Burk  Bentley Burke         Bentley 'Blueprint' Burke
craftsman-5   Chisel 'Craftsman' Cole   Chisel Cole           Chisel 'Craftsman' Cole
craftsman-6   Dexter 'Design' Davis     Dexter Davis          Dexter 'Design' Davis
craftsman-7   Emerson 'Erect' Edwards   Emerson Edwards       Emerson 'Erect' Edwards
craftsman-8   Fabian 'Forge' Fowler     Fabian Fowler         Fabian 'Forge' Fowler
craftsman-9   Garrison 'Gear' Grant     Garrison Grant        Garrison 'Gear' Grant
engineer-1    Gavin 'GearHead' Garriso  Gavin Garrison        Gavin 'GearHead' Garrison
engineer-10   Kinetic 'Kernel' King     Kinetic King          Kinetic 'Kernel' King
engineer-2    Silas 'Sparky' Sparks     Silas Sparks          Silas 'Sparky' Sparks
engineer-3    Circuit 'Current' Carter  Circuit Carter        Circuit 'Current' Carter
engineer-4    Dynamo 'Drive' Davis      Dynamo Davis          Dynamo 'Drive' Davis
engineer-5    Fission 'Fuse' Fletcher   Fission Fletcher      Fission 'Fuse' Fletcher
engineer-6    Generator 'Grid' Graham   Generator Graham      Generator 'Grid' Graham
engineer-7    Hydraulic 'Hose' Hayes    Hydraulic Hayes       Hydraulic 'Hose' Hayes
engineer-8    Ignition 'Spark' Stevens  Ignition Stevens      Ignition 'Spark' Stevens
engineer-9    Junction 'Joint' Jackson  Junction Jackson      Junction 'Joint' Jackson
explorer-1    Atlas 'Astro' Anderson    Atlas Anderson        Atlas 'Astro' Anderson
explorer-10   Scout 'Space' Sullivan    Scout Sullivan        Scout 'Space' Sullivan
explorer-2    Cosmo 'Cosmic' Chandler   Cosmo Chandler        Cosmo 'Cosmic' Chandler
explorer-3    Orion 'Nebula' North      Orion North           Orion 'Nebula' North
explorer-4    Stella 'Starlight' Sterl  Stella Sterling       Stella 'Starlight' Sterling
explorer-5    Nova 'Navigator' Nash     Nova Nash             Nova 'Navigator' Nash
explorer-6    Zenith 'Zone' Zimmer      Zenith Zimmer         Zenith 'Zone' Zimmer
explorer-7    Eugene 'Explorer-7' Edwa  Eugene Edwards        Eugene 'Explorer-7' Edwards
explorer-8    Stella 'StarStrider' Ste  Stella Sterling       Stella 'StarStrider' Sterling
explorer-9    Diana 'Driftwood' Dawson  Diana Dawson          Diana 'Driftwood' Dawson
fighter-1     Isabella 'IronVanguard'   Isabella Vance        Isabella 'IronVanguard' Vance
fighter-10    Ironclad 'Impact' Ingram  Ironclad Ingram       Ironclad 'Impact' Ingram
fighter-2     Victoria 'Valkyrie' Vane  Victoria Vane         Victoria 'Valkyrie' Vane
