[craftsman-1-GAME] 2026/05/25 18:41:50 Stored raw JSON for storage (25979 bytes)
[craftsman-1-GAME] 2026/05/25 18:41:50 Parsed ship listings data

Storage at grand_exchange_station — 313 types, 129771 units, 198579 volume
  Name (id)                                                       |   Qty | Unit Size
  ----------------------------------------------------------------+-------+----------
  Adamantite Ore (adamantite_ore)                                 |    35 |         2
  Adaptive Shield I (adaptive_shield_i)                           |    26 |        10
  Advanced Repair Kit (advanced_repair_kit)                       |    21 |         3
  Afterburner Fuel (afterburner_fuel)                             |     5 |         1
  Afterburner I (afterburner_i)                                   |     1 |        10
  Afterburner II (afterburner_ii)                                 |   207 |        10
  Afterburner III (afterburner_iii)                               |     1 |        10
  Aluminum Ore (aluminum_ore)                                     |   203 |         1
  Aluminum Sheet (aluminum_sheet)                                 |   246 |         1
  Anomaly Detector (anomaly_detector)                             |    73 |        10
  Antimatter Containment Cell (antimatter_containment_cell)       |   304 |         3
  Argon Condenser (argon_condenser)                               |    13 |        10
  Argon Gas (argon_gas)                                           |   352 |         1
  Armor Piercing Rounds Box (armor_piercing_rounds_box)           |   305 |         1
  Armor Plate (armor_plate)                                       |   307 |         2
  Armor Plate I (armor_plate_i)                                   |   226 |        10
  Armor Plate II (armor_plate_ii)                                 |   207 |        10
  Armor Plate III (armor_plate_iii)                               |    11 |        10
  Autocannon I (autocannon_i)                                     |    71 |        10
  Autocannon II (autocannon_ii)                                   |   206 |        10
  Autopilot Module (autopilot_module)                             |    79 |         1
  Basic Tow Rig (basic_tow_rig)                                   |    74 |        10
  Berserker Compound (berserker_compound)                         |    13 |         1
  Bioactive Compound (bioactive_compound)                         |   304 |         1
  Biofiber Mesh (biofiber_mesh)                                   |    26 |         1
  Bioluminescent Algae (bioluminescent_algae)                     |   203 |         1
  Bioluminescent Culture (bioluminescent_culture)                 |   188 |         1
  Blood Reaver (blood_reaver)                                     |     1 |        10
  Breacher Torpedoes (breacher_torpedoes)                         |   148 |         1
  Capital Ship Frame (capital_ship_frame)                         |   278 |        10
  Carbon Ore (carbon_ore)                                         |   407 |         1
  Cargo Bay Expansion (cargo_bay_expansion)                       |   203 |         6
  Cargo Container (cargo_container)                               |   136 |         4
  Cargo Expander I (cargo_expander_i)                             |   424 |        10
  Cargo Expander II (cargo_expander_ii)                           |    23 |        10
  Cargo Expander III (cargo_expander_iii)                         |    82 |        10
  Cargo Superstructure (cargo_superstructure)                     |   580 |         4
  Cascade EM Charge Pack (cascade_em_charge_pack)                 |    97 |         1
  Ceramite Plating (ceramite_plating)                             |   495 |         1
  Chaff Bundle (chaff_bundle)                                     |   535 |         1
  Chlorine Compound (chlorine_compound)                           |   505 |         1
  Chlorine Gas (chlorine_gas)                                     |   209 |         1
  Circuit Board (circuit_board)                                   |    50 |         1
  Cloaking Device I (cloaking_device_i)                           |     8 |        10
  Cloaking Dust (cloaking_dust)                                   |     9 |         1
  Cobalt Ore (cobalt_ore)                                         |   493 |         1
  Combat Stim (combat_stim)                                       |    38 |         1
  Communications Array (communications_array)                     |     6 |         5
  Condensed Dark Matter (condensed_dark_matter)                   |   505 |         3
  Contained Enriched Uranium Rod (contained_enriched_uranium_rod) |     3 |         5
  Contained Low Enriched Uranium (contained_low_enriched_uranium) |     7 |         5
  Contained Uranium Hexafluoride (contained_uranium_hexafluoride) |    13 |         7
  Copper Ore (copper_ore)                                         | 12275 |         1
  Copper Wiring (copper_wiring)                                   |  1868 |         1
  Corrosive Plasma Cell Pack (corrosive_plasma_cell_pack)         |    81 |         1
  Crimson Berserker Plating (crimson_berserker_plating)           |     6 |        10
  Crimson Bloodwine (crimson_bloodwine)                           |   505 |         1
  Cryo Slug Case (cryo_slug_case)                                 |   505 |         1
  Cryogenic Storage (cryogenic_storage)                           |   173 |         3
  Cryogenic Suspension Chamber (cryogenic_suspension_chamber)     |     1 |         3
  Damage Control System (damage_control_system)                   |   118 |        10
  Dark Matter Cell (dark_matter_cell)                             |   455 |         2
  Dark Matter Residue (dark_matter_residue)                       |   203 |         3
  Dark Matter Thruster (dark_matter_thruster)                     |    11 |         3
  Darksteel Ore (darksteel_ore)                                   |    50 |         2
  Darksteel Plating (darksteel_plating)                           |   173 |         2
  Deuterium (deuterium)                                           |   303 |         1
  Deuterium Ice (deuterium_ice)                                   |   303 |         2
  Dispersal Plasma Cell Pack (dispersal_plasma_cell_pack)         |    57 |         1
  Drone Chassis (drone_chassis)                                   |    92 |         4
  Drone Command Module (drone_command_module)                     |    36 |         3
  Durasteel Plate (durasteel_plate)                               |   503 |         2
  ECM Jammer Pod (ecm_jammer_pod)                                 |    60 |         1
  Electrum Ingot (electrum_ingot)                                 |   303 |         2
  EM Charge Pack (em_charge_pack)                                 |   303 |         1
  EM Disruptor I (em_disruptor_i)                                 |    32 |        10
  EM Hull Hardener (em_hull_hardener)                             |    20 |        10
  EM Shield Hardener (em_shield_hardener)                         |     3 |        10
  EMP Mines (emp_mines)                                           |   303 |         1
  EMP Pulse II (emp_pulse_ii)                                     |     1 |        10
  Endurance Booster (endurance_booster)                           |    10 |         1
  Energy Crystal (energy_crystal)                                 |    77 |         1
  Engine Core (engine_core)                                       |   295 |         3
  Enriched Uranium Rod (enriched_uranium_rod)                     |    14 |         2
  Environmental Control Unit (environmental_control_unit)         |   211 |         3
  Exotic Crystal (exotic_crystal)                                 |    10 |         3
  Exotic Matter (exotic_matter)                                   |   160 |         2
  Expanded Fuel Tank (expanded_fuel_tank)                         |   202 |        10
  Explosive Hull Hardener (explosive_hull_hardener)               |    30 |        10
  Fermentation Culture (fermentation_culture)                     |   220 |         1
  Ferrous Slug Case (ferrous_slug_case)                           |   343 |         1
  Flak Cannon I (flak_cannon_i)                                   |     1 |        10
